2024-11-04 00:00:53: 52.27 V, 0.91 psi, 6.21 psi
2024-11-04 00:01:53: 52.29 V, 0.94 psi, 6.21 psi
2024-11-04 00:02:53: 52.20 V, 1.00 psi, 6.21 psi
2024-11-04 00:03:53: 52.22 V, 1.04 psi, 6.21 psi
2024-11-04 00:04:53: 52.25 V, 1.10 psi, 6.21 psi
2024-11-04 00:05:53: 52.27 V, 1.15 psi, 6.21 psi
2024-11-04 00:06:53: 52.25 V, 1.20 psi, 6.21 psi
2024-11-04 00:07:53: 52.30 V, 1.26 psi, 6.21 psi
2024-11-04 00:08:54: 52.33 V, 1.31 psi, 6.21 psi
2024-11-04 00:09:54: 52.37 V, 1.39 psi, 6.21 psi
2024-11-04 00:10:54: 52.38 V, 1.43 psi, 6.21 psi
2024-11-04 00:11:54: 52.31 V, 1.51 psi, 6.21 psi
2024-11-04 00:12:54: 52.34 V, 1.56 psi, 6.21 psi
2024-11-04 00:13:54: 52.33 V, 1.64 psi, 6.21 psi
2024-11-04 00:14:54: 52.39 V, 1.69 psi, 6.21 psi
2024-11-04 00:15:54: 52.41 V, 1.75 psi, 6.21 psi
2024-11-04 00:16:54: 52.44 V, 1.83 psi, 6.21 psi
2024-11-04 00:17:54: 52.47 V, 1.88 psi, 6.21 psi
2024-11-04 00:18:54: 52.49 V, 1.96 psi, 6.21 psi
2024-11-04 00:19:54: 52.53 V, 2.02 psi, 6.21 psi
2024-11-04 00:20:54: 52.66 V, 2.10 psi, 6.21 psi
2024-11-04 00:21:54: 52.56 V, 2.08 psi, 6.21 psi
2024-11-04 00:22:54: 52.46 V, 1.97 psi, 6.21 psi
2024-11-04 00:23:54: 52.48 V, 1.92 psi, 6.21 psi
2024-11-04 00:24:55: 52.46 V, 1.87 psi, 6.21 psi
2024-11-04 00:25:55: 52.43 V, 1.86 psi, 6.21 psi
2024-11-04 00:26:55: 52.55 V, 1.83 psi, 6.22 psi
2024-11-04 00:27:55: 52.43 V, 1.79 psi, 6.22 psi
2024-11-04 00:28:55: 52.40 V, 1.75 psi, 6.22 psi
2024-11-04 00:29:55: 52.38 V, 1.69 psi, 6.22 psi
2024-11-04 00:30:55: 52.48 V, 1.63 psi, 6.22 psi
2024-11-04 00:31:55: 52.43 V, 1.56 psi, 6.22 psi
2024-11-04 00:32:55: 52.38 V, 1.49 psi, 6.22 psi
2024-11-04 00:33:55: 52.37 V, 1.42 psi, 6.22 psi
2024-11-04 00:34:55: 52.34 V, 1.34 psi, 6.22 psi
2024-11-04 00:35:55: 52.33 V, 1.27 psi, 6.22 psi
2024-11-04 00:36:55: 52.28 V, 1.19 psi, 6.22 psi
2024-11-04 00:37:55: 52.26 V, 1.13 psi, 6.22 psi
2024-11-04 00:38:55: 52.23 V, 1.06 psi, 6.22 psi
2024-11-04 00:39:55: 52.20 V, 1.01 psi, 6.22 psi
2024-11-04 00:40:55: 52.17 V, 0.93 psi, 6.22 psi
2024-11-04 00:41:56: 52.12 V, 0.87 psi, 6.23 psi
2024-11-04 00:42:56: 52.14 V, 0.82 psi, 6.23 psi
2024-11-04 00:43:56: 52.10 V, 0.77 psi, 6.23 psi
2024-11-04 00:44:56: 52.20 V, 0.73 psi, 6.23 psi
2024-11-04 00:45:56: 52.18 V, 0.68 psi, 6.23 psi
2024-11-04 00:46:56: 52.18 V, 0.66 psi, 6.22 psi
2024-11-04 00:47:56: 52.15 V, 0.61 psi, 6.23 psi
2024-11-04 00:48:56: 52.11 V, 0.59 psi, 6.23 psi
2024-11-04 00:49:56: 52.14 V, 0.55 psi, 6.23 psi
2024-11-04 00:50:56: 52.23 V, 0.51 psi, 6.22 psi
2024-11-04 00:51:56: 52.34 V, 0.49 psi, 6.23 psi
2024-11-04 00:52:56: 52.30 V, 0.46 psi, 6.23 psi
2024-11-04 00:53:56: 52.20 V, 0.44 psi, 6.23 psi
2024-11-04 00:54:56: 52.20 V, 0.41 psi, 6.22 psi
2024-11-04 00:55:56: 52.28 V, 0.39 psi, 6.22 psi
2024-11-04 00:56:56: 52.18 V, 0.37 psi, 6.22 psi
2024-11-04 00:57:57: 52.17 V, 0.34 psi, 6.22 psi
2024-11-04 00:58:57: 52.27 V, 0.33 psi, 6.22 psi
2024-11-04 00:59:57: 52.26 V, 0.29 psi, 6.22 psi
2024-11-04 01:00:57: 52.24 V, 0.28 psi, 6.21 psi
2024-11-04 01:01:57: 52.25 V, 0.25 psi, 6.22 psi
2024-11-04 01:02:57: 52.24 V, 0.23 psi, 6.21 psi
2024-11-04 01:03:57: 52.31 V, 0.39 psi, 6.21 psi
2024-11-04 01:04:57: 52.33 V, 0.43 psi, 6.21 psi
2024-11-04 01:05:57: 52.34 V, 0.48 psi, 6.21 psi
2024-11-04 01:06:57: 52.36 V, 0.52 psi, 6.21 psi
2024-11-04 01:07:57: 52.37 V, 0.57 psi, 6.21 psi
2024-11-04 01:08:57: 52.39 V, 0.61 psi, 6.21 psi
2024-11-04 01:09:57: 52.38 V, 0.66 psi, 6.21 psi
2024-11-04 01:10:57: 52.53 V, 0.70 psi, 6.21 psi
2024-11-04 01:11:57: 52.55 V, 0.74 psi, 6.20 psi
2024-11-04 01:12:57: 52.57 V, 0.80 psi, 6.20 psi
2024-11-04 01:13:57: 52.69 V, 0.83 psi, 6.21 psi
2024-11-04 01:14:58: 52.49 V, 0.89 psi, 6.21 psi
2024-11-04 01:15:58: 52.51 V, 0.93 psi, 6.21 psi
2024-11-04 01:16:58: 52.49 V, 0.99 psi, 6.20 psi
2024-11-04 01:17:58: 52.54 V, 1.03 psi, 6.20 psi
2024-11-04 01:18:58: 52.56 V, 1.07 psi, 6.20 psi
2024-11-04 01:19:58: 52.59 V, 1.14 psi, 6.20 psi
2024-11-04 01:21:58: 52.52 V, 1.26 psi, 6.21 psi
2024-11-04 01:22:58: 52.65 V, 1.31 psi, 6.20 psi
2024-11-04 01:23:58: 52.68 V, 1.39 psi, 6.20 psi
2024-11-04 01:24:58: 52.70 V, 1.44 psi, 6.21 psi
2024-11-04 01:25:58: 52.69 V, 1.49 psi, 6.21 psi
2024-11-04 01:26:58: 52.66 V, 1.59 psi, 6.21 psi
2024-11-04 01:27:58: 52.67 V, 1.64 psi, 6.21 psi
2024-11-04 01:28:58: 52.67 V, 1.71 psi, 6.21 psi
2024-11-04 01:29:58: 52.73 V, 1.77 psi, 6.21 psi
2024-11-04 01:30:59: 52.75 V, 1.82 psi, 6.21 psi
2024-11-04 01:31:59: 52.78 V, 1.90 psi, 6.21 psi
2024-11-04 01:32:59: 52.81 V, 1.96 psi, 6.21 psi
2024-11-04 01:33:59: 52.84 V, 2.04 psi, 6.21 psi
2024-11-04 01:34:59: 52.85 V, 2.11 psi, 6.21 psi
2024-11-04 01:35:59: 52.94 V, 2.03 psi, 6.21 psi
2024-11-04 01:36:59: 52.91 V, 1.95 psi, 6.21 psi
2024-11-04 01:37:59: 52.84 V, 1.89 psi, 6.21 psi
2024-11-04 01:38:59: 52.78 V, 1.86 psi, 6.21 psi
2024-11-04 01:39:59: 52.77 V, 1.82 psi, 6.22 psi
2024-11-04 01:40:59: 52.75 V, 1.80 psi, 6.21 psi
2024-11-04 01:41:59: 52.72 V, 1.74 psi, 6.22 psi
2024-11-04 01:42:59: 52.82 V, 1.70 psi, 6.22 psi
2024-11-04 01:43:59: 52.79 V, 1.62 psi, 6.22 psi
2024-11-04 01:44:59: 52.75 V, 1.56 psi, 6.22 psi
2024-11-04 01:45:59: 52.74 V, 1.49 psi, 6.21 psi
2024-11-04 01:48:00: 52.80 V, 1.34 psi, 6.21 psi
2024-11-04 01:49:00: 52.76 V, 1.25 psi, 6.21 psi
2024-11-04 01:50:00: 52.73 V, 1.19 psi, 6.21 psi
2024-11-04 01:51:00: 52.60 V, 1.11 psi, 6.21 psi
2024-11-04 01:52:00: 52.67 V, 1.06 psi, 6.21 psi
2024-11-04 01:53:00: 52.65 V, 0.98 psi, 6.21 psi
2024-11-04 01:54:00: 52.59 V, 0.92 psi, 6.21 psi
2024-11-04 01:55:00: 52.48 V, 0.86 psi, 6.21 psi
2024-11-04 01:56:00: 52.46 V, 0.80 psi, 6.21 psi
2024-11-04 01:57:00: 52.52 V, 0.77 psi, 6.21 psi
2024-11-04 01:58:00: 52.63 V, 0.72 psi, 6.21 psi
2024-11-04 01:59:00: 52.62 V, 0.68 psi, 6.21 psi
2024-11-04 02:00:00: 52.39 V, 0.65 psi, 6.21 psi
2024-11-04 02:01:00: 52.37 V, 0.60 psi, 6.21 psi
2024-11-04 02:02:00: 52.47 V, 0.58 psi, 6.21 psi
2024-11-04 02:03:00: 52.55 V, 0.54 psi, 6.21 psi
2024-11-04 02:04:01: 52.57 V, 0.52 psi, 6.21 psi
2024-11-04 02:05:01: 52.64 V, 0.48 psi, 6.21 psi
2024-11-04 02:06:01: 52.62 V, 0.45 psi, 6.21 psi
2024-11-04 02:07:01: 52.72 V, 0.43 psi, 6.21 psi
2024-11-04 02:08:01: 52.61 V, 0.39 psi, 6.21 psi
2024-11-04 02:09:01: 52.49 V, 0.38 psi, 6.21 psi
2024-11-04 02:10:01: 52.48 V, 0.34 psi, 6.21 psi
2024-11-04 02:11:01: 52.67 V, 0.33 psi, 6.21 psi
2024-11-04 02:12:01: 52.68 V, 0.30 psi, 6.21 psi
2024-11-04 02:13:01: 52.63 V, 0.28 psi, 6.21 psi
2024-11-04 02:14:01: 52.66 V, 0.25 psi, 6.21 psi
2024-11-04 02:15:01: 52.63 V, 0.23 psi, 6.21 psi
2024-11-04 02:16:01: 52.71 V, 0.39 psi, 6.21 psi
2024-11-04 02:17:01: 52.61 V, 0.42 psi, 6.20 psi
2024-11-04 02:18:01: 52.74 V, 0.47 psi, 6.21 psi
2024-11-04 02:19:01: 52.75 V, 0.51 psi, 6.20 psi
2024-11-04 02:20:02: 52.75 V, 0.56 psi, 6.21 psi
2024-11-04 02:21:02: 52.80 V, 0.60 psi, 6.20 psi
2024-11-04 02:22:02: 52.80 V, 0.64 psi, 6.20 psi
2024-11-04 02:23:02: 52.84 V, 0.69 psi, 6.20 psi
2024-11-04 02:24:02: 52.85 V, 0.73 psi, 6.20 psi
2024-11-04 02:25:02: 52.88 V, 0.79 psi, 6.20 psi
2024-11-04 02:26:02: 52.90 V, 0.82 psi, 6.20 psi
2024-11-04 02:27:02: 52.92 V, 0.88 psi, 6.20 psi
2024-11-04 02:28:02: 52.94 V, 0.92 psi, 6.20 psi
2024-11-04 02:29:02: 52.92 V, 0.97 psi, 6.20 psi
2024-11-04 02:30:02: 52.98 V, 1.02 psi, 6.20 psi
2024-11-04 02:31:02: 53.00 V, 1.06 psi, 6.20 psi
2024-11-04 02:32:02: 52.92 V, 1.13 psi, 6.19 psi
2024-11-04 02:33:02: 52.94 V, 1.18 psi, 6.19 psi
2024-11-04 02:34:02: 53.08 V, 1.25 psi, 6.19 psi
2024-11-04 02:35:02: 53.09 V, 1.30 psi, 6.19 psi
2024-11-04 02:36:03: 53.09 V, 1.37 psi, 6.19 psi
2024-11-04 02:37:03: 53.15 V, 1.42 psi, 6.19 psi
2024-11-04 02:38:03: 53.06 V, 1.48 psi, 6.20 psi
2024-11-04 02:39:03: 52.98 V, 1.55 psi, 6.19 psi
2024-11-04 02:41:03: 53.03 V, 1.68 psi, 6.19 psi
2024-11-04 02:42:03: 53.06 V, 1.74 psi, 6.20 psi
2024-11-04 02:43:03: 53.09 V, 1.81 psi, 6.20 psi
2024-11-04 02:44:03: 53.11 V, 1.87 psi, 6.20 psi
2024-11-04 02:45:03: 53.10 V, 1.93 psi, 6.20 psi
2024-11-04 02:46:03: 53.17 V, 2.01 psi, 6.20 psi
2024-11-04 02:47:03: 53.19 V, 2.07 psi, 6.20 psi
2024-11-04 02:48:03: 53.21 V, 2.12 psi, 6.20 psi
2024-11-04 02:49:03: 53.15 V, 1.99 psi, 6.20 psi
2024-11-04 02:50:03: 53.14 V, 1.95 psi, 6.21 psi
2024-11-04 02:51:03: 53.11 V, 1.90 psi, 6.21 psi
2024-11-04 02:52:03: 53.07 V, 1.87 psi, 6.21 psi
2024-11-04 02:53:04: 53.09 V, 1.83 psi, 6.21 psi
2024-11-04 02:54:04: 53.06 V, 1.79 psi, 6.21 psi
2024-11-04 02:55:04: 53.05 V, 1.75 psi, 6.21 psi
2024-11-04 02:56:04: 53.02 V, 1.69 psi, 6.21 psi
2024-11-04 02:57:04: 53.00 V, 1.63 psi, 6.21 psi
2024-11-04 02:58:04: 53.09 V, 1.57 psi, 6.21 psi
2024-11-04 02:59:04: 53.05 V, 1.49 psi, 6.21 psi
2024-11-04 03:00:04: 53.04 V, 1.43 psi, 6.21 psi
2024-11-04 03:01:04: 52.99 V, 1.34 psi, 6.21 psi
2024-11-04 03:02:04: 52.92 V, 1.27 psi, 6.21 psi
2024-11-04 03:03:04: 52.93 V, 1.20 psi, 6.21 psi
2024-11-04 03:04:04: 52.90 V, 1.12 psi, 6.21 psi
2024-11-04 03:05:04: 52.89 V, 1.07 psi, 6.21 psi
2024-11-04 03:06:04: 52.85 V, 0.99 psi, 6.22 psi
2024-11-04 03:07:04: 52.93 V, 0.94 psi, 6.22 psi
2024-11-04 03:08:04: 52.91 V, 0.87 psi, 6.22 psi
2024-11-04 03:09:05: 52.89 V, 0.82 psi, 6.22 psi
2024-11-04 03:10:05: 52.79 V, 0.77 psi, 6.22 psi
2024-11-04 03:11:05: 52.71 V, 0.72 psi, 6.22 psi
2024-11-04 03:12:05: 52.83 V, 0.69 psi, 6.22 psi
2024-11-04 03:13:05: 52.81 V, 0.64 psi, 6.22 psi
2024-11-04 03:14:05: 53.01 V, 0.61 psi, 6.22 psi
2024-11-04 03:15:05: 52.99 V, 0.57 psi, 6.22 psi
2024-11-04 03:16:05: 53.11 V, 0.55 psi, 6.22 psi
2024-11-04 03:17:05: 53.09 V, 0.51 psi, 6.22 psi
2024-11-04 03:18:05: 53.05 V, 0.49 psi, 6.22 psi
2024-11-04 03:18:05: 53.05 V, 0.49 psi, 6.22 psi
2024-11-04 03:19:05: 53.07 V, 0.46 psi, 6.21 psi
2024-11-04 03:20:05: 53.05 V, 0.42 psi, 6.21 psi
2024-11-04 03:21:05: 53.06 V, 0.41 psi, 6.21 psi
2024-11-04 03:22:05: 53.04 V, 0.37 psi, 6.21 psi
2024-11-04 03:23:05: 53.14 V, 0.36 psi, 6.21 psi
2024-11-04 03:24:05: 53.13 V, 0.32 psi, 6.21 psi
2024-11-04 03:25:06: 53.08 V, 0.31 psi, 6.21 psi
2024-11-04 03:26:06: 53.01 V, 0.28 psi, 6.21 psi
2024-11-04 03:27:06: 52.99 V, 0.25 psi, 6.20 psi
2024-11-04 03:28:06: 53.10 V, 0.25 psi, 6.20 psi
2024-11-04 03:29:06: 53.09 V, 0.22 psi, 6.20 psi
2024-11-04 03:30:06: 53.12 V, 0.35 psi, 6.20 psi
2024-11-04 03:31:06: 53.17 V, 0.39 psi, 6.20 psi
