2024-10-28 00:00:48: 52.59 V, 1.56 psi, 1.70 psi
2024-10-28 00:01:48: 52.59 V, 1.54 psi, 1.67 psi
2024-10-28 00:02:48: 52.59 V, 1.53 psi, 1.64 psi
2024-10-28 00:03:48: 52.59 V, 1.50 psi, 1.62 psi
2024-10-28 00:04:48: 52.87 V, 1.47 psi, 1.59 psi
2024-10-28 00:05:48: 52.87 V, 1.44 psi, 1.56 psi
2024-10-28 00:06:48: 52.87 V, 1.40 psi, 1.54 psi
2024-10-28 00:07:48: 52.59 V, 1.40 psi, 1.51 psi
2024-10-28 00:08:49: 52.59 V, 1.35 psi, 1.49 psi
2024-10-28 00:09:49: 52.87 V, 1.32 psi, 1.46 psi
2024-10-28 00:10:49: 52.87 V, 1.30 psi, 1.44 psi
2024-10-28 00:11:49: 52.87 V, 1.28 psi, 1.41 psi
2024-10-28 00:12:49: 52.59 V, 1.25 psi, 1.38 psi
2024-10-28 00:13:49: 52.59 V, 1.23 psi, 1.36 psi
2024-10-28 00:14:49: 52.87 V, 1.21 psi, 1.33 psi
2024-10-28 00:16:49: 52.87 V, 1.16 psi, 1.29 psi
2024-10-28 00:17:49: 52.87 V, 1.12 psi, 1.26 psi
2024-10-28 00:18:49: 52.87 V, 1.10 psi, 1.24 psi
2024-10-28 00:19:49: 52.87 V, 1.08 psi, 1.21 psi
2024-10-28 00:20:49: 52.87 V, 1.06 psi, 1.19 psi
2024-10-28 00:21:49: 52.87 V, 1.04 psi, 1.17 psi
2024-10-28 00:22:49: 52.87 V, 1.01 psi, 1.14 psi
2024-10-28 00:23:49: 52.87 V, 1.00 psi, 1.13 psi
2024-10-28 00:24:49: 52.87 V, 0.98 psi, 1.10 psi
2024-10-28 00:25:50: 53.16 V, 0.96 psi, 1.08 psi
2024-10-28 00:26:50: 53.16 V, 0.93 psi, 1.06 psi
2024-10-28 00:27:50: 53.16 V, 0.92 psi, 1.05 psi
2024-10-28 00:28:50: 52.87 V, 0.89 psi, 1.02 psi
2024-10-28 00:29:50: 52.87 V, 0.88 psi, 1.01 psi
2024-10-28 00:30:50: 52.87 V, 0.86 psi, 0.99 psi
2024-10-28 00:31:50: 52.87 V, 0.84 psi, 0.96 psi
2024-10-28 00:32:50: 52.87 V, 0.83 psi, 0.95 psi
2024-10-28 00:33:50: 52.87 V, 0.83 psi, 0.93 psi
2024-10-28 00:34:50: 52.87 V, 0.78 psi, 0.91 psi
2024-10-28 00:35:50: 52.87 V, 0.78 psi, 0.90 psi
2024-10-28 00:36:50: 52.87 V, 0.75 psi, 0.88 psi
2024-10-28 00:37:50: 53.16 V, 0.74 psi, 0.86 psi
2024-10-28 00:38:50: 53.16 V, 0.72 psi, 0.84 psi
2024-10-28 00:39:50: 53.16 V, 0.71 psi, 0.82 psi
2024-10-28 00:40:50: 52.87 V, 0.69 psi, 0.81 psi
2024-10-28 00:41:50: 52.87 V, 0.68 psi, 0.79 psi
2024-10-28 00:42:50: 53.16 V, 0.66 psi, 0.77 psi
2024-10-28 00:43:51: 53.16 V, 0.64 psi, 0.75 psi
2024-10-28 00:44:51: 53.45 V, 0.63 psi, 0.74 psi
2024-10-28 00:45:51: 53.45 V, 0.61 psi, 0.72 psi
2024-10-28 00:46:51: 53.16 V, 0.60 psi, 0.71 psi
2024-10-28 00:47:51: 53.16 V, 0.58 psi, 0.69 psi
2024-10-28 00:48:51: 53.16 V, 0.56 psi, 0.67 psi
2024-10-28 00:49:51: 53.45 V, 0.55 psi, 0.66 psi
2024-10-28 00:50:51: 53.45 V, 0.54 psi, 0.64 psi
